"Run_ID","Sample_type","Capture_date","Section","Sex","FL_cm","CWT","CWT_Release_Location","CWT_Hatchery_Location","CWT_Age","Age_all","Known_Origin","region_mean","region_sd","grouped_classification","simplified_classification","AME","BAT","BUT","CNH","DEE","FEA","FRH","MEH","MER","MIL","MOH","MOK","NIH","PUC","SAC","STA","THE","TUO","YUB"
"PC_2016_01_A1_3R.run","Adult","2016-11-29","B","Male","N/A","N/A","N/A","N/A",NA,3,"",0.709744406470588,4.54402767296217e-05,"NIH","Hatchery","0.116","0","0","0","0","0","0","0.018","0.018","0","0","0","0.848","0","0","0","0","0","0"
"PC_2016_01_A2_4R.run","Adult","2016-11-29","B","Male","N/A","N/A","N/A","N/A",NA,3,"",0.708550667631579,2.69835681164133e-05,"MEHMER","Unknown","0","0","0","0","0","0","0","0.708","0.216","0","0","0","0.002","0","0","0","0","0","0.074"
"PC_2016_01_A3_6R.run","Adult","2016-11-29","B","Female","N/A","N/A","N/A","N/A",NA,2,"",0.707282621333333,2.14665787925622e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.57","0","0","0","0.382","0.034","0","0","0","0","0","0.008","0.006"
"PC_2016_01_A4_7R.run","Adult","2016-12-14","B","Male","57.2","N/A","N/A","N/A",NA,2,"",0.708719582307692,1.54741839600988e-05,"MEHMER","Unknown","0","0","0","0","0","0","0","0.642","0.332","0","0","0","0.016","0","0","0","0","0","0.01"
"PC_2016_01_B1_8R.run","Adult","2016-12-14","B","Male","88.9","N/A","N/A","N/A",NA,4,"",0.707467405,2.31914813143803e-05,"MOH","Hatchery","0","0","0","0","0","0","0.052","0","0","0","0.914","0.002","0","0","0","0","0","0.02","0.012"
"PC_2016_01_B2_5R.run","Adult","2016-11-29","B","Male","N/A","N/A","N/A","N/A",NA,3,"",0.707116961818182,6.7487458632894e-05,"FRHMOK","Unknown","0","0","0","0","0","0","0.718","0","0","0","0","0.282","0","0","0","0","0","0","0"
"PC_2016_01_B3_9R.run","Adult","2016-12-14","B","Female","81.3","60457","SAN JOAQ SHERMAN ISL NET PEN","MOK R FISH INS",4,4,"MOH",0.707204865306122,6.44136603686876e-05,"FRH","Hatchery","0","0","0","0","0","0","0.894","0","0","0","0","0.104","0","0","0","0","0","0","0.002"
"PC_2016_01_B4_11R.run","Adult","2016-12-14","B","Male","61","N/A","N/A","N/A",NA,2,"",0.707416099166667,2.26055849451935e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.228","0","0","0","0.736","0.008","0","0","0","0","0","0.016","0.012"
"PC_2016_01_C1_12R.run","Adult","2016-12-14","B","Male","85.1","N/A","N/A","N/A",NA,3,"",0.707345155,4.24867597658954e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.374","0","0","0","0.598","0.01","0","0","0","0","0","0.01","0.008"
"PC_2016_01_C3_15R.run","Adult","2016-12-14","B","Female","58.4","60674","SAN JOAQ SHERMAN ISL NET PEN","MOK R FISH INS",2,2,"MOH",0.70748341,1.64872624235206e-05,"MOH","Hatchery","0","0","0","0","0","0","0.026","0","0","0","0.942","0","0","0","0","0","0","0.02","0.012"
"PC_2016_01_C4_16R.run","Adult","2016-12-15","A","Unknown","80","N/A","N/A","N/A",NA,4,"",0.707304938461538,3.9035939165025e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.458","0","0","0","0.498","0.03","0","0","0","0","0","0.008","0.006"
"PC_2016_02_A1_17R.run","Adult","2016-12-15","A","Female","83.8","N/A","N/A","N/A",NA,3,"",0.70742549173913,4.53141431516127e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.224","0","0","0","0.74","0.008","0","0","0","0","0","0.016","0.012"
"PC_2016_02_A2_18R.run","Adult","2016-12-15","A","Female","88.9","60489","SAN JOAQ SHERMAN ISL NET PEN","MOK R FISH INS",4,4,"MOH",0.707449334285714,6.14798999325299e-05,"MOH","Hatchery","0","0","0","0","0","0","0.078","0","0","0","0.886","0.004","0","0","0","0","0","0.02","0.012"
"PC_2016_02_A3_19R.run","Adult","2016-12-15","A","Unknown","77.5","N/A","N/A","N/A",NA,3,"",0.709522324,2.55061679640357e-05,"NIH","Hatchery","0.112","0","0","0","0","0","0","0.022","0.018","0","0","0","0.848","0","0","0","0","0","0"
"PC_2016_02_A4_21R.run","Adult","2016-12-15","A","Male","79.7","60482","SAN JOAQ SHERMAN ISL NET PEN","MOH",4,4,"MOH",0.707446968780488,2.02425889148467e-05,"MOH","Hatchery","0","0","0","0","0","0","0.078","0","0","0","0.886","0.004","0","0","0","0","0","0.02","0.012"
"PC_2016_02_B1_23R.run","Adult","2016-12-15","A","Male","99.7","60486","SAN JOAQ SHERMAN ISL NET PEN","MOH",4,4,"MOH",0.707471746296296,8.69492029046647e-05,"MOH","Hatchery","0","0","0","0","0","0","0.026","0","0","0","0.942","0","0","0","0","0","0","0.02","0.012"
"PC_2016_02_B2_22R.run","Adult","2016-12-15","A","Male","66","N/A","N/A","N/A",NA,2,"",0.7071730188,3.14600983151732e-05,"FRH","Hatchery","0","0","0","0","0","0","0.92","0","0","0","0","0.078","0","0","0","0","0","0","0.002"
"PC_2016_02_B3_25R.run","Adult","2016-12-15","A","Male","88.3","60593","SAN FRANCISCO MAJ.PT","MOH",3,3,"MOH",0.707438527222222,3.18499897138445e-05,"MOH","Hatchery","0","0","0","0","0","0","0.078","0","0","0","0.886","0.004","0","0","0","0","0","0.02","0.012"
"PC_2016_02_C1_30R.run","Adult","2016-12-22","A","Female","57.15","N/A","N/A","N/A",NA,2,"",0.707283358,2.54088691489493e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.57","0","0","0","0.382","0.034","0","0","0","0","0","0.008","0.006"
"PC_2016_02_C2_32R.run","Adult","2016-12-22","A","Male","85.09","N/A","N/A","N/A",NA,4,"",0.7076045525,1.97022020877119e-05,"MOH","Hatchery","0","0","0","0","0","0","0.002","0","0","0","0.962","0","0","0","0","0","0","0.016","0.02"
"PC_2016_02_C3_33R.run","Adult","2016-12-22","A","Female","71.76","N/A","N/A","N/A",NA,3,"",0.709873570454545,5.3280550143502e-05,"NIH","Hatchery","0.116","0","0","0","0","0","0","0.018","0.018","0","0","0","0.848","0","0","0","0","0","0"
"PC_2016_02_C4_34R.run","Adult","2016-12-22","A","Male","64.45","N/A","N/A","N/A",NA,2,"",0.7074457196,2.72968393286376e-05,"MOH","Hatchery","0","0","0","0","0","0","0.078","0","0","0","0.886","0.004","0","0","0","0","0","0.02","0.012"
"PC_2016_03_A1_35R.run","Adult","2016-12-22","A","Male","76.84","N/A","N/A","N/A",NA,3,"",0.70941161,5.49133108204526e-05,"NIH","Hatchery","0.104","0","0","0","0","0","0","0.028","0.02","0","0","0","0.848","0","0","0","0","0","0"
"PC_2016_03_A2_37R.run","Adult","2016-12-22","A","Female","55.25","60665","WICKLAND OIL NET PEN","NIH",2,2,"NIH",0.709936228205128,2.29450425641864e-05,"NIH","Hatchery","0.116","0","0","0","0","0","0","0.018","0.018","0","0","0","0.848","0","0","0","0","0","0"
"PC_2016_03_A3_38L.run","Adult","2016-12-22","A","Female","81.6","N/A","N/A","N/A",NA,3,"",0.707454384,2.09615029147479e-05,"MOH","Hatchery","0","0","0","0","0","0","0.052","0","0","0","0.914","0.002","0","0","0","0","0","0.02","0.012"
"PC_2016_03_A4_43L.run","Adult","2016-12-22","A","Female","79.93","N/A","N/A","N/A",NA,3,"",0.707489216,3.0882009217904e-05,"MOH","Hatchery","0","0","0","0","0","0","0.018","0","0","0","0.946","0","0","0","0","0","0","0.024","0.012"
"PC_2016_03_B1_53R.run","Adult","2016-12-15","A","Unknown","74.93","N/A","N/A","N/A",NA,3,"",0.709466968461538,5.44178457347607e-05,"NIH","Hatchery","0.106","0","0","0","0","0","0","0.026","0.02","0","0","0","0.848","0","0","0","0","0","0"
"PC_2016_03_B2_45R.run","Adult","2016-12-22","A","Male","55.8","N/A","N/A","N/A",NA,2,"",0.707348664545455,2.61804825637935e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.374","0","0","0","0.598","0.01","0","0","0","0","0","0.01","0.008"
"PC_2016_03_B3_47R.run","Adult","2016-12-22","A","Male","55.45","N/A","N/A","N/A",NA,2,"",0.707259943684211,2.14638997208873e-05,"FRH","Hatchery","0","0","0","0","0","0","0.814","0","0","0","0.132","0.048","0","0","0","0","0","0.002","0.004"
"PC_2016_03_C1_49R.run","Adult","2016-12-22","A","Male","70.22","N/A","N/A","N/A",NA,3,"",0.707214073636364,2.64441563573987e-05,"FRH","Hatchery","0","0","0","0","0","0","0.914","0","0","0","0","0.084","0","0","0","0","0","0","0.002"
"PC_2016_03_C2_52R.run","Adult","2016-12-15","A","Male","84.33","N/A","N/A","N/A",NA,3,"",0.707733516,8.10235454393051e-05,"MOH","Hatchery","0","0","0","0","0","0","0","0","0","0","0.952","0","0","0","0","0","0","0.028","0.02"
"PC_2016_03_C3_54R.run","Adult","2016-12-15","A","Male","54.36","60661","MOSS LANDING MIN. PT","MOH",2,2,"MOH",0.707373638,4.32430582703527e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.28","0","0","0","0.688","0.01","0","0","0","0","0","0.01","0.012"
"PC_2016_03_C4_55R.run","Adult","2016-12-28","B","Male","94.62","N/A","N/A","N/A",NA,3,"",0.70737957,3.89789272739547e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.264","0","0","0","0.704","0.01","0","0","0","0","0","0.01","0.012"
"PC_2016_04_A1_57R.run","Adult","2016-12-28","B","Female","73.66","N/A","N/A","N/A",NA,3,"",0.70738835,2.52491700193768e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.248","0","0","0","0.716","0.01","0","0","0","0","0","0.014","0.012"
"PC_2016_04_A2_58R.run","Adult","2016-12-28","B","Female","65.41","60553","SAN JOAQ SHERMAN ISL NET PEN","MOH",2,2,"MOH",0.707229014871795,3.52220756039717e-05,"FRH","Hatchery","0","0","0","0","0","0","0.912","0","0","0","0.002","0.082","0","0","0","0","0","0","0.004"
"PC_2016_04_A3_60R.run","Adult","2016-12-28","B","Female","71.44","N/A","N/A","N/A",NA,3,"",0.707397496153846,2.98008337519045e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.242","0","0","0","0.724","0.008","0","0","0","0","0","0.014","0.012"
"PC_2016_04_A4_61R.run","Adult","2016-12-28","B","Male","61.6","N/A","N/A","N/A",NA,2,"",0.707388460425532,4.81378161910246e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.248","0","0","0","0.716","0.01","0","0","0","0","0","0.014","0.012"
"PC_2016_04_B1_62R.run","Adult","2016-12-28","B","Male","58.74","N/A","N/A","N/A",NA,2,"",0.707594683333333,3.15232725958392e-05,"MOH","Hatchery","0","0","0","0","0","0","0.002","0","0","0","0.964","0","0","0","0","0","0","0.016","0.018"
"PC_2016_04_B2_63R.run","Adult","2016-12-28","B","Male","59.69","N/A","N/A","N/A",NA,2,"",0.709839108888889,3.69643611968831e-05,"NIH","Hatchery","0.116","0","0","0","0","0","0","0.018","0.018","0","0","0","0.848","0","0","0","0","0","0"
"PC_2016_04_B3_65L.run","Adult","2016-12-28","B","Female","63.82","N/A","N/A","N/A",NA,2,"",0.70741726225,3.15736433809216e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.228","0","0","0","0.736","0.008","0","0","0","0","0","0.016","0.012"
"PC_2016_04_B4_66R.run","Adult","2016-12-28","B","Male","64.45","60676","SAN JOAQ SHERMAN ISL NET PEN","MOH",2,2,"MOH",0.707565047619048,4.10998660465792e-05,"MOH","Hatchery","0","0","0","0","0","0","0.002","0","0","0","0.92","0","0","0","0","0","0","0.064","0.014"
"PC_2016_04_C1_68R.run","Adult","2016-12-28","B","Female","73.34","N/A","N/A","N/A",NA,3,"",0.707506752258064,2.38797058482303e-05,"MOH","Hatchery","0","0","0","0","0","0","0.006","0","0","0","0.956","0","0","0","0","0","0","0.024","0.014"
"PC_2016_04_C2_69R.run","Adult","2016-12-28","B","Female","63.18","60677","SAN JOAQ SHERMAN ISL NET PEN","MOH",2,2,"MOH",0.707443728947368,4.23417755223725e-05,"MOH","Hatchery","0","0","0","0","0","0","0.078","0","0","0","0.886","0.004","0","0","0","0","0","0.02","0.012"
"PC_2016_04_C3_70R.run","Adult","2016-12-28","B","Female","56.2","N/A","N/A","N/A",NA,2,"",0.707378483214286,5.39627690620186e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.264","0","0","0","0.704","0.01","0","0","0","0","0","0.01","0.012"
"PC_2016_04_C4_71R.run","Adult","2016-12-28","B","Female","65.41","N/A","N/A","N/A",NA,3,"",0.707380968461539,5.43063736047906e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.262","0","0","0","0.706","0.01","0","0","0","0","0","0.01","0.012"
"PC_2016_05_A1_74R.run","Adult","2016-12-29","B","Male","60.33","N/A","N/A","N/A",NA,2,"",0.707382969166667,3.10073597037303e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.262","0","0","0","0.706","0.01","0","0","0","0","0","0.01","0.012"
"PC_2016_05_A2_75R.run","Adult","2016-12-29","B","Male","67.63","N/A","N/A","N/A",NA,3,"",0.707517693529412,1.87964271675465e-05,"MOH","Hatchery","0","0","0","0","0","0","0.002","0","0","0","0.96","0","0","0","0","0","0","0.024","0.014"
"PC_2016_05_A3_76R.run","Adult","2016-12-29","B","Female","60.96","N/A","N/A","N/A",NA,2,"",0.707379836363636,4.38065101212581e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.264","0","0","0","0.704","0.01","0","0","0","0","0","0.01","0.012"
"PC_2016_05_A4_78R.run","Adult","2016-12-29","B","Male","61.28","N/A","N/A","N/A",NA,2,"",0.707153108292683,2.08228092368054e-05,"FRH","Hatchery","0","0","0","0","0","0","0.816","0","0","0","0","0.182","0","0","0","0","0","0","0.002"
"PC_2016_05_B1_79R.run","Adult","2016-12-29","B","Male","92.71","N/A","N/A","N/A",NA,3,"",0.707485112,2.69994262317126e-05,"MOH","Hatchery","0","0","0","0","0","0","0.018","0","0","0","0.946","0","0","0","0","0","0","0.024","0.012"
"PC_2016_05_B2_80R.run","Adult","2016-12-29","B","Unknown","62.87","N/A","N/A","N/A",NA,2,"",0.707299802727273,2.29200105108801e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.522","0","0","0","0.432","0.032","0","0","0","0","0","0.008","0.006"
"PC_2016_05_B3_81R.run","Adult","2016-12-30","C","Male","66.99","N/A","N/A","N/A",NA,2,"",0.707376294375,2.65551463862839e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.264","0","0","0","0.704","0.01","0","0","0","0","0","0.01","0.012"
"PC_2016_05_B4_82R.run","Adult","2016-12-30","C","Male","64.14","N/A","N/A","N/A",NA,2,"",0.707254950526316,2.15779865896405e-05,"FRH","Hatchery","0","0","0","0","0","0","0.88","0","0","0","0.04","0.074","0","0","0","0","0","0.002","0.004"
"PC_2016_05_C1_84R.run","Adult","2016-12-30","C","Male","N/A","N/A","N/A","N/A",NA,3,"",0.707346476153846,1.76324239865277e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.374","0","0","0","0.598","0.01","0","0","0","0","0","0.01","0.008"
"PC_2016_05_C2_85R.run","Adult","2016-12-30","C","Male","66.04","N/A","N/A","N/A",NA,3,"",0.707514296470588,0.000116117430320611,"MOH","Hatchery","0","0","0","0","0","0","0.004","0","0","0","0.958","0","0","0","0","0","0","0.024","0.014"
"PC_2016_05_C3_86R.run","Adult","2016-12-30","C","Female","59.06","N/A","N/A","N/A",NA,2,"",0.707506768055556,3.60625889902836e-05,"MOH","Hatchery","0","0","0","0","0","0","0.006","0","0","0","0.956","0","0","0","0","0","0","0.024","0.014"
"PC_2016_05_C4_87R.run","Adult","2016-12-30","C","Male","64.77","60710","SAN JOAQ SHERMAN ISL NET PEN","MOH",2,2,"MOH",0.707377658857143,3.29140419498873e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.264","0","0","0","0.704","0.01","0","0","0","0","0","0.01","0.012"
"PC_2016_06_A1_88R.run","Adult","2016-12-30","C","Female","57.79","N/A","N/A","N/A",NA,2,"",0.707506194150943,6.00447138976628e-05,"MOH","Hatchery","0","0","0","0","0","0","0.006","0","0","0","0.956","0","0","0","0","0","0","0.024","0.014"
"PC_2016_06_A2_89R.run","Adult","2016-12-30","D","Female","59.69","60661","MOSS LANDING MIN. PT","MOH",2,2,"MOH",0.707213907037037,4.19546407825398e-05,"FRH","Hatchery","0","0","0","0","0","0","0.914","0","0","0","0","0.084","0","0","0","0","0","0","0.002"
