"Run_ID","Sample_type","Capture_date","Section","Sex","FL_cm","CWT","CWT_Release_Location","CWT_Hatchery_Location","CWT_Age","Age_all","Known_Origin","region_mean","region_sd","grouped_classification","simplified_classification","AME","BAT","BUT","CNH","DEE","FEA","FRH","MEH","MER","MIL","MOH","MOK","NIH","PUC","SAC","STA","THE","TUO","YUB"
"PC_2016_06_A3_90R.run","Adult","2016-11-29","A","Female","N/A","60670","SAN JOAQ SHERMAN ISL NET PEN","MOH",2,2,"MOH",0.707232389166667,4.8384484451171e-05,"FRH","Hatchery","0","0","0","0","0","0","0.912","0","0","0","0.002","0.082","0","0","0","0","0","0","0.004"
"PC_2016_06_A4_91R.run","Adult","2016-12-09","A","Male","N/A","N/A","N/A","N/A",NA,2,"",0.707279554166667,1.58592998001746e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.672","0","0","0","0.28","0.036","0","0","0","0","0","0.006","0.006"
"PC_2016_06_B1_92R.run","Adult","2016-12-09","A","Female","N/A","N/A","N/A","N/A",NA,2,"",0.707250854,2.75407092968063e-05,"FRH","Hatchery","0","0","0","0","0","0","0.88","0","0","0","0.04","0.074","0","0","0","0","0","0.002","0.004"
"PC_2016_06_B2_93R.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,3,"",0.707822452653061,4.50073212921837e-05,"MOHTUO","Unknown","0","0","0","0","0","0","0","0","0","0","0.378","0","0","0","0","0","0","0.544","0.078"
"PC_2016_06_B3_94R.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,2,"",0.707346234814815,5.47386974192639e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.374","0","0","0","0.598","0.01","0","0","0","0","0","0.01","0.008"
"PC_2016_06_B4_96R.run","Adult","2016-12-09","A","Male","N/A","N/A","N/A","N/A",NA,2,"",0.707513199722222,5.00750785741359e-05,"MOH","Hatchery","0","0","0","0","0","0","0.004","0","0","0","0.958","0","0","0","0","0","0","0.024","0.014"
"PC_2016_06_C1_97R.run","Adult","2016-11-28","A","Female","N/A","N/A","N/A","N/A",NA,4,"",0.707539624,5.39126031853634e-05,"MOH","Hatchery","0","0","0","0","0","0","0.002","0","0","0","0.96","0","0","0","0","0","0","0.024","0.014"
"PC_2016_06_C2_98R.run","Adult","2016-12-03","A","Female","N/A","N/A","N/A","N/A",NA,2,"",0.7074464175,3.11986399160058e-05,"MOH","Hatchery","0","0","0","0","0","0","0.078","0","0","0","0.886","0.004","0","0","0","0","0","0.02","0.012"
"PC_2016_06_C3_99R.run","Adult","2016-12-03","A","Male","N/A","N/A","N/A","N/A",NA,3,"",0.707177916896552,5.31968532973391e-05,"FRH","Hatchery","0","0","0","0","0","0","0.92","0","0","0","0","0.078","0","0","0","0","0","0","0.002"
"PC_2016_07_A1_101R.run","Adult","2016-12-03","A","Male","N/A","N/A","N/A","N/A",NA,3,"",0.707222480103093,3.82606168134784e-05,"FRH","Hatchery","0","0","0","0","0","0","0.912","0","0","0","0.002","0.082","0","0","0","0","0","0","0.004"
"PC_2016_07_A2_102R.run","Adult","2016-12-03","A","Female","N/A","N/A","N/A","N/A",NA,3,"",0.706894849333333,7.38426951922761e-05,"MOK","Wild","0","0","0","0","0","0.002","0.018","0","0","0","0","0.98","0","0","0","0","0","0","0"
"PC_2016_07_A3_103R.run","Adult","2016-12-09","A","Male","N/A","N/A","N/A","N/A",NA,2,"",0.7071683092,4.01683541402023e-05,"FRH","Hatchery","0","0","0","0","0","0","0.9","0","0","0","0","0.098","0","0","0","0","0","0","0.002"
"PC_2016_07_A4_104R.run","Adult","2016-12-09","A","Male","N/A","N/A","N/A","N/A",NA,3,"",0.707106153076923,3.32088628855866e-05,"FRHMOK","Unknown","0","0","0","0","0","0","0.7","0","0","0","0","0.3","0","0","0","0","0","0","0"
"PC_2016_07_B1_105R.run","Adult","2016-12-06","A","Female","N/A","N/A","N/A","N/A",NA,2,"",0.707038470869565,3.90928096054268e-05,"FRHMOK","Unknown","0","0","0","0","0","0","0.562","0","0","0","0","0.438","0","0","0","0","0","0","0"
"PC_2016_07_B2_106R.run","Adult","2016-12-06","A","Female","N/A","N/A","N/A","N/A",NA,2,"",0.707601319090909,5.3601006112551e-05,"MOH","Hatchery","0","0","0","0","0","0","0.002","0","0","0","0.962","0","0","0","0","0","0","0.016","0.02"
"PC_2016_07_B3_107R.run","Adult","2016-12-09","A","Male","N/A","N/A","N/A","N/A",NA,3,"",0.707127516,4.00591876685868e-05,"FRH","Hatchery","0","0","0","0","0","0","0.816","0","0","0","0","0.182","0","0","0","0","0","0","0.002"
"PC_2016_07_C1_109R.run","Adult","2016-11-29","A","Male","N/A","N/A","N/A","N/A",NA,3,"",0.706995488333333,3.11976726501715e-05,"FRHMOK","Unknown","0","0","0","0","0","0","0.306","0","0","0","0","0.694","0","0","0","0","0","0","0"
"PC_2016_07_C3_111R.run","Adult","2016-12-06","A","Female","N/A","N/A","N/A","N/A",NA,3,"",0.707234745,2.70098353244747e-05,"FRH","Hatchery","0","0","0","0","0","0","0.912","0","0","0","0.002","0.082","0","0","0","0","0","0","0.004"
"PC_2016_07_C4_112R.run","Adult","2016-12-06","A","Female","N/A","N/A","N/A","N/A",NA,3,"",0.707257711052632,2.92286149545876e-05,"FRH","Hatchery","0","0","0","0","0","0","0.814","0","0","0","0.132","0.048","0","0","0","0","0","0.002","0.004"
"PC_2016_08_A1_113R.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,3,"",0.707139132631579,1.32083512479892e-05,"FRH","Hatchery","0","0","0","0","0","0","0.83","0","0","0","0","0.168","0","0","0","0","0","0","0.002"
"PC_2016_08_A2_114R.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,2,"",0.706904191764706,3.2078388219026e-05,"MOK","Wild","0","0","0","0","0","0.002","0.018","0","0","0","0","0.98","0","0","0","0","0","0","0"
"PC_2016_08_A3_115R.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,4,"",0.7074059948,2.48336289333595e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.232","0","0","0","0.732","0.008","0","0","0","0","0","0.016","0.012"
"PC_2016_08_A4_116R.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,2,"",0.707185192777778,1.44150190489825e-05,"FRH","Hatchery","0","0","0","0","0","0","0.892","0","0","0","0","0.106","0","0","0","0","0","0","0.002"
"PC_2016_08_B1_117R.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,3,"",0.705321263823529,0.000271148087203335,"CNH","Hatchery","0","0","0.028","0.95","0","0","0","0","0","0","0","0","0","0","0.016","0","0.006","0","0"
"PC_2016_08_B2_118R.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,4,"",0.707319345416667,3.93401674339552e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.456","0","0","0","0.5","0.03","0","0","0","0","0","0.008","0.006"
"PC_2016_08_B3_119R.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,3,"",0.706234574642857,3.28860518078246e-05,"FEAPUC","Wild","0","0","0","0","0","0.706","0","0","0","0","0","0","0","0.292","0","0.002","0","0","0"
"PC_2016_08_B4_121R.run","Adult","2016-12-05","A","Male","N/A","N/A","N/A","N/A",NA,4,"",0.707474102592593,3.55890771480636e-05,"MOH","Hatchery","0","0","0","0","0","0","0.026","0","0","0","0.942","0","0","0","0","0","0","0.02","0.012"
"PC_2016_08_C1_123R.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,3,"",0.70732066,2.44690069271212e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.452","0","0","0","0.504","0.028","0","0","0","0","0","0.008","0.008"
"PC_2016_08_C2_126R.run","Adult","2016-12-05","A","Male","N/A","N/A","N/A","N/A",NA,4,"",0.707254239047619,4.46635896345978e-05,"FRH","Hatchery","0","0","0","0","0","0","0.88","0","0","0","0.04","0.074","0","0","0","0","0","0.002","0.004"
"PC_2016_08_C3_029R.run","Adult","2016-12-22","A","Female","72.71","60587","SAN JOAQ SHERMAN ISL NET PEN","MOH",3,3,"MOH",0.707236732439024,7.61681360143704e-05,"FRH","Hatchery","0","0","0","0","0","0","0.912","0","0","0","0.008","0.076","0","0","0","0","0","0","0.004"
"PC_2016_08_C4_039R.run","Adult","2016-12-22","A","Male","97.16","N/A","N/A","N/A",NA,4,"",0.707251929473684,3.77130722213637e-05,"FRH","Hatchery","0","0","0","0","0","0","0.88","0","0","0","0.04","0.074","0","0","0","0","0","0.002","0.004"
"PC_2016_09_A1_124.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,3,"",0.707058136363636,1.21490536855663e-05,"FRHMOK","Unknown","0","0","0","0","0","0","0.606","0","0","0","0","0.394","0","0","0","0","0","0","0"
"PC_2016_10_A2_28L.run","Adult","2016-12-22","A","Male","90.2","60489","SAN JOAQ SHERMAN ISL NET PEN","MOH",4,4,"MOH",0.707439166428571,2.89922195417493e-05,"MOH","Hatchery","0","0","0","0","0","0","0.078","0","0","0","0.886","0.004","0","0","0","0","0","0.02","0.012"
"PC_2016_10_A3_51L.run","Adult","2016-12-22","A","Male","54.32","N/A","N/A","N/A",NA,2,"",0.705048227142857,6.09193597406391e-05,"CNH","Hatchery","0","0","0.094","0.864","0","0","0","0","0","0.002","0","0","0","0","0.04","0","0","0","0"
"PC_2016_10_B1_13L.run","Adult","2016-12-14","B","Male","78.7","N/A","N/A","N/A",NA,3,"",0.707328896666667,3.70006397692487e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.45","0","0","0","0.506","0.028","0","0","0","0","0","0.008","0.008"
"PC_2016_10_B2_44L.run","Adult","2016-12-22","A","Female","69.16","N/A","N/A","N/A",NA,3,"",0.707677998611111,4.3460017497389e-05,"MOH","Hatchery","0","0","0","0","0","0","0","0","0","0","0.97","0","0","0","0","0","0","0.012","0.018"
"PC_2016_10_B3_72L.run","Adult","2016-12-29","B","Male","82.23","N/A","N/A","N/A",NA,3,"",0.7072211035,0.000123510570068665,"FRH","Hatchery","0","0","0","0","0","0","0.912","0","0","0","0.002","0.082","0","0","0","0","0","0","0.004"
"PC_2016_10_C1_20L.run","Adult","2016-12-15","A","Female","61","60663","MARE ISLAND NET PEN","NIH",2,2,"NIH",0.70995580125,4.01609881809087e-05,"NIH","Hatchery","0.126","0","0","0","0","0","0","0.018","0.014","0","0","0","0.842","0","0","0","0","0","0"
"PC_2016_10_C2_48L.run","Adult","2016-12-22","A","Female","72.04","N/A","N/A","N/A",NA,2,"",0.707257259642857,3.63366623838878e-05,"FRH","Hatchery","0","0","0","0","0","0","0.814","0","0","0","0.132","0.048","0","0","0","0","0","0.002","0.004"
"PC_2016_10_C3_73L.run","Adult","2016-12-29","B","Female","75.25","60589","SAN JOAQ SHERMAN ISL NET PEN","MOH",3,3,"MOH",0.707368251034483,2.25259766467851e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.298","0","0","0","0.672","0.01","0","0","0","0","0","0.01","0.01"
"PC_2016_11_A1_95L.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,3,"",0.707091677142857,2.70582137516324e-05,"FRHMOK","Unknown","0","0","0","0","0","0","0.688","0","0","0","0","0.312","0","0","0","0","0","0","0"
"PC_2016_11_A2_110L.run","Adult","2016-11-28","A","Unknown","N/A","N/A","N/A","N/A",NA,2,"",0.70735542125,4.78976148153501e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.324","0","0","0","0.646","0.01","0","0","0","0","0","0.01","0.01"
"PC_2016_11_B1_100L.run","Adult","2016-12-03","A","Female","N/A","N/A","N/A","N/A",NA,2,"",0.707177508461538,4.96229167778239e-05,"FRH","Hatchery","0","0","0","0","0","0","0.92","0","0","0","0","0.078","0","0","0","0","0","0","0.002"
"PC_2016_11_C1_108L.run","Adult","2016-11-29","A","Female","N/A","N/A","N/A","N/A",NA,2,"",0.707386009333333,4.55639234587335e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.248","0","0","0","0.716","0.01","0","0","0","0","0","0.014","0.012"
"PC_2016_11_C2_120L.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,3,"",0.708610252,4.61199016574135e-05,"MEH","Hatchery","0","0","0","0","0","0","0","0.866","0.076","0","0","0","0.002","0","0","0","0","0","0.056"
"PC_2016_09_A2.run","Juvenile","2017-05-10","RST","N/A","0.97","N/A","N/A","N/A",NA,NA,"",0.706256877,2.5157249263912e-05,"FEAPUC","Wild","0","0","0","0","0","0.216","0","0","0","0","0","0","0","0.778","0","0.006","0","0","0"
"PC_2016_09_A3.run","Juvenile","2017-05-10","RST","N/A","0.92","N/A","N/A","N/A",NA,NA,"",0.706240062653061,3.8361228624287e-05,"FEAPUC","Wild","0","0","0","0","0","0.676","0","0","0","0","0","0","0","0.322","0","0.002","0","0","0"
"PC_2016_09_A4.run","Juvenile","2017-05-10","RST","N/A","0.94","N/A","N/A","N/A",NA,NA,"",0.706295638541667,2.99261282685741e-05,"PUC","Wild","0","0","0","0","0","0.06","0","0","0","0","0","0","0","0.928","0","0.012","0","0","0"
"PC_2016_09_A5.run","Juvenile","2017-05-10","RST","N/A","0.96","N/A","N/A","N/A",NA,NA,"",0.706303910555556,4.09203853228078e-05,"PUC","Wild","0","0","0","0","0","0.078","0","0","0","0","0","0","0","0.886","0","0.036","0","0","0"
"PC_2016_09_A6.run","Juvenile","2017-05-10","RST","N/A","0.98","N/A","N/A","N/A",NA,NA,"",0.706428596551724,2.27812054860689e-05,"FEAPUC","Wild","0","0","0","0","0","0.578","0","0","0","0","0","0","0","0.232","0","0.19","0","0","0"
"PC_2016_09_B1.run","Juvenile","2017-05-10","RST","N/A","0.95","N/A","N/A","N/A",NA,NA,"",0.706331384642857,6.43112512979357e-05,"FEAPUC","Wild","0","0","0","0","0","0.372","0","0","0","0","0","0","0","0.6","0","0.028","0","0","0"
"PC_2016_09_B2.run","Juvenile","2017-05-10","RST","N/A","0.95","N/A","N/A","N/A",NA,NA,"",0.706285451428571,3.71686540201164e-05,"PUC","Wild","0","0","0","0","0","0.06","0","0","0","0","0","0","0","0.932","0","0.008","0","0","0"
"PC_2016_09_B3.run","Juvenile","2017-05-10","RST","N/A","0.9","N/A","N/A","N/A",NA,NA,"",0.7062459825,2.397032136644e-05,"FEAPUC","Wild","0","0","0","0","0","0.546","0","0","0","0","0","0","0","0.452","0","0.002","0","0","0"
"PC_2016_09_B4.run","Juvenile","2017-05-10","RST","N/A","0.99","N/A","N/A","N/A",NA,NA,"",0.706225380909091,3.78616624681118e-05,"FEA","Wild","0","0","0","0","0","0.8","0","0","0","0","0","0","0","0.198","0","0.002","0","0","0"
"PC_2016_09_B5.run","Juvenile","2017-05-10","RST","N/A","0.95","N/A","N/A","N/A",NA,NA,"",0.706295665,2.77531607632922e-05,"PUC","Wild","0","0","0","0","0","0.06","0","0","0","0","0","0","0","0.928","0","0.012","0","0","0"
"PC_2016_09_B6.run","Juvenile","2017-05-10","RST","N/A","0.9","N/A","N/A","N/A",NA,NA,"",0.706271796923077,3.66627579725548e-05,"PUC","Wild","0","0","0","0","0","0.166","0","0","0","0","0","0","0","0.828","0","0.006","0","0","0"
"PC_2016_09_C1.run","Juvenile","2017-05-10","RST","N/A","0.95","N/A","N/A","N/A",NA,NA,"",0.706383393191489,1.80205900480565e-05,"PUC","Wild","0","0","0","0","0","0.124","0","0","0","0","0","0","0","0.854","0","0.022","0","0","0"
"PC_2016_09_C2.run","Juvenile","2017-05-10","RST","N/A","0.95","N/A","N/A","N/A",NA,NA,"",0.706287001944444,2.51640646068852e-05,"PUC","Wild","0","0","0","0","0","0.06","0","0","0","0","0","0","0","0.932","0","0.008","0","0","0"
"Putah_creek_salmon_2016_A1.run","Juvenile","","Survey","N/A","N/A","N/A","N/A","N/A",NA,NA,"",0.706020805714286,6.02263446989642e-05,"FEATHE","Unclassified","0","0","0","0.008","0","0.738","0","0","0","0","0","0","0","0.002","0.002","0","0.25","0","0"
"Putah_creek_salmon_2016_A2.run","Juvenile","","Survey","N/A","N/A","N/A","N/A","N/A",NA,NA,"",0.706297096363636,4.44040801769814e-05,"PUC","Wild","0","0","0","0","0","0.06","0","0","0","0","0","0","0","0.928","0","0.012","0","0","0"
"Putah_creek_salmon_2016_B1.run","Juvenile","","Survey","N/A","N/A","N/A","N/A","N/A",NA,NA,"",0.706249905762712,5.08133951319776e-05,"FEAPUC","Wild","0","0","0","0","0","0.546","0","0","0","0","0","0","0","0.452","0","0.002","0","0","0"
"Putah_creek_salmon_2016_B2.run","Juvenile","","Survey","N/A","N/A","N/A","N/A","N/A",NA,NA,"",0.706337643235294,6.0340387084086e-05,"FEAPUC","Wild","0","0","0","0","0","0.258","0","0","0","0","0","0","0","0.726","0","0.016","0","0","0"
"Putah_creek_salmon_2016_C1.run","Juvenile","","Survey","N/A","N/A","N/A","N/A","N/A",NA,NA,"",0.706254783111111,5.90673236393782e-05,"FEAPUC","Wild","0","0","0","0","0","0.53","0","0","0","0","0","0","0","0.468","0","0.002","0","0","0"
"Putah_creek_salmon_2016_D1.run","Juvenile","","Survey","N/A","N/A","N/A","N/A","N/A",NA,NA,"",0.706218392758621,0.000109309128030054,"FEA","Wild","0","0","0","0","0","0.896","0","0","0","0","0","0","0","0.104","0","0","0","0","0"
